category,name,price,original_price,stock_status,url
Motherboard,Asus Prime B860 Plus WiFi-CSM LGA1851 ATX Motherboard,18900.0,24633.0,In Stock,https://www.pcstudio.in/product/asus-prime-b860-plus-wifi-csm-lga1851-atx-motherboard/
Motherboard,Asus Prime B860-PLUS-CSM LGA1851 ATX Motherboard,18300.0,22000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b860-plus-csm-lga1851-atx-motherboard/
Motherboard,Asus Prime B860M-A WiFi-CSM LGA1851 M-Atx Motherboard (PRIME-B860M-A-WIFI-CSM),17460.0,23000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b860m-a-wifi-csm-lga1851-m-atx-motherboard/
Motherboard,Asus Prime B860M-A-CSM LGA1851 Micro-ATX Motherboard,14820.0,21000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b860m-a-csm-lga1851-micro-atx-motherboard/
Motherboard,Asus Prime H510M-E Lga1200 Matx Motherboard,6550.0,7550.0,In Stock,https://www.pcstudio.in/product/asus-prime-h510m-e-lga1200-matx-motherboard/
Motherboard,Asus Prime H610M-A Wifi Lga1700 Matx Motherboard (PRIME-H610M-A-WIFI),10300.0,13500.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-a-wifi-lga1700-matx-motherboard/
Motherboard,Asus Prime H610M-CS D4 LGA1700 Micro-ATX Motherboard (PRIME H610M-CS D4),6000.0,9000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-cs-d4-lga1700-micro-atx-motherboard/
Motherboard,Asus Prime H610M-CS Lga1700 Micro Atx Ddr5 Motherboard (PRIME-H610M-CS),6750.0,10000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-cs-lga1700-micro-atx-ddr5-motherboard/
Motherboard,Asus Prime H610M-E D4 Intel Lga1700 Matx Motherboard (Prime-H610M-E-D4),6500.0,9000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-e-d4-intel-lga1700-matx-motherboard/
Motherboard,Asus PRIME H610M-F WIFI D4 M-ATX Motherboard (PRIME-H610M-F-WIFI-D4),8030.0,10000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-f-wifi-d4-m-atx-motherboard/
Motherboard,Asus Prime H610M-R DDR4 Lga1700 Micro Atx Motherboard (PRIME-H610M-R-D4),6500.0,10000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h610m-r-ddr4-lga1700-micro-atx-motherboard/
Motherboard,Asus Prime H810M-E DDR5 M-ATX Motherboard (PRIME-H810M-E),8550.0,15000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h810m-e-ddr5-m-atx-motherboard/
Motherboard,Asus Prime H810M-K DDR5 M-ATX Motherboard (PRIME-H810M-K),8500.0,12000.0,In Stock,https://www.pcstudio.in/product/asus-prime-h810m-k-ddr5-m-atx-motherboard/
Motherboard,AsRock B760M Steel Legend Wifi Lga1700 Micro Atx Motherboard (B760M-Steel-Legend-WiFi),15999.0,22000.0,In Stock,https://www.pcstudio.in/product/asrock-b760m-steel-legend-wifi-lga1700-atx-motherboard/
Motherboard,ASRock Phantom Gaming X870E Nova WiFi AM5 ATX Motherboard (X870E-NOVA-WIFI),37500.0,50000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-x870e-nova-wifi-am5-atx-motherboard/
Motherboard,ASRock Phantom Gaming Z890 Nova WiFi LGA1851 ATX Motherboard (Z890-NOVA-WIFI),37500.0,55000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-z890-nova-wifi-lga1851-atx-motherboard/
Motherboard,ASRock Phantom Gaming Z890M Riptide WiFi LGA1851 Micro ATX Motherboard,27500.0,45000.0,In Stock,https://www.pcstudio.in/product/asrock-phantom-gaming-z890m-riptide-wifi-lga1851-micro-atx-motherboard/
Motherboard,AsRock TRX50 WS Amd Ryzen 7000 Eatx DDR5 sTR5 Threadripper Motherboard,82390.0,115000.0,In Stock,https://www.pcstudio.in/product/asrock-trx50-ws-amd-ryzen-7000-eatx-ddr5-str5-threadripper-motherboard/
Motherboard,ASRock X870 Pro RS WiFi AM5 ATX Motherboard,22600.0,30000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-pro-rs-wifi-am5-atx-motherboard/
Motherboard,ASRock X870 Pro-A WiFi ATX DDR5 Motherboard,24900.0,36000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-pro-a-wifi-atx-ddr5-motherboard/
Motherboard,ASRock X870 Steel Legend WiFi AM5 ATX Motherboard,26400.0,40000.0,In Stock,https://www.pcstudio.in/product/asrock-x870-steel-legend-wifi-am5-atx-motherboard/
Motherboard,ASRock X870E Taichi AM5 E-Atx Motherboard (X870E-TAICHI),49250.0,80000.0,In Stock,https://www.pcstudio.in/product/asrock-x870e-taichi-am5-e-atx-motherboard-x870e-taichi/
Motherboard,ASRock X870E Taichi Lite AM5 E-Atx Motherboard,42750.0,46300.0,In Stock,https://www.pcstudio.in/product/asrock-x870e-taichi-lite-am5-e-atx-motherboard/
Motherboard,Asrock Z790 Steel Legend Wifi Lga1700 Atx Motherboard (Z790 STEEL LEGEND WIFI),29100.0,49500.0,In Stock,https://www.pcstudio.in/product/asrock-z790-steel-legend-wifi-lga1700-atx-motherboard/
Motherboard,ASRock Z890 Pro RS WiFi LGA1851 ATX Motherboard,26000.0,45000.0,In Stock,https://www.pcstudio.in/product/asrock-z890-pro-rs-wifi-lga1851-atx-motherboard/
